AccessId,ByWho,WhatPage,TypeOfAccess,AccessTime
811,135871,178974,Wrote on Timeline,983229
812,83230,121570,Added a Friendship,406989
813,53307,18105,Viewed,34418
814,45526,53922,Sent a Message,532349
815,205,63093,Viewed,547679
816,122495,134728,Poked,108700
817,119868,179051,Other,560764
818,70930,129270,Added a Friendship,405217
819,69828,66360,Sent a Message,484937
820,111317,10401,Wrote on Timeline,781242
821,160029,121806,Added a Friendship,243897
822,12777,42373,Added a Friendship,124479
823,145456,86006,Wrote on Timeline,245777
824,53889,187794,Sent a Message,401642
825,51787,113198,Poked,62924
826,159639,79889,Wrote on Timeline,967304
827,40307,50128,Wrote on Timeline,420908
828,44409,153040,Sent a Message,184188
829,69814,114891,Other,589639
830,170136,22949,Other,536550
831,178520,172977,Viewed,727498
832,54717,33353,Other,123613
833,64728,126478,Other,963870
834,54534,51544,Sent a Message,394244
835,70621,88442,Wrote on Timeline,240512
836,45963,40705,Poked,479321
837,136148,107743,Wrote on Timeline,458919
838,71438,61141,Added a Friendship,760676
839,8134,145722,Poked,377783
840,94152,154640,Sent a Message,926200
841,107688,117634,Poked,299305
842,36262,148356,Sent a Message,199664
843,195824,50609,Wrote on Timeline,912662
844,6556,194498,Wrote on Timeline,72789
845,87583,193833,Poked,485541
846,44423,98211,Wrote on Timeline,892370
847,166203,196688,Added a Friendship,261784
848,72088,184250,Added a Friendship,46506
849,148358,77706,Other,705467
850,154565,156340,Viewed,920112
851,154712,59729,Other,116839
852,66673,129813,Other,926431
853,159305,97186,Added a Friendship,768984
854,167617,95819,Added a Friendship,146522
855,126230,79583,Other,154069
856,64754,39117,Other,515005
857,134965,94393,Sent a Message,890267
858,91680,19197,Viewed,891754
859,64210,92210,Wrote on Timeline,791134
860,45055,157922,Viewed,378233
861,107421,35047,Poked,901961
862,77532,190499,Poked,171024
863,109546,46803,Sent a Message,486975
864,166772,14087,Poked,343961
865,118699,52453,Sent a Message,332486
866,110528,114035,Wrote on Timeline,223048
867,136325,19908,Other,506002
868,82240,103678,Sent a Message,583146
869,188383,118460,Viewed,954479
870,73269,74143,Other,305008
871,43993,106551,Poked,320436
872,185133,76495,Added a Friendship,989076
873,70765,161341,Viewed,620902
874,133939,40894,Sent a Message,306761
875,154460,117333,Added a Friendship,708919
876,161884,43124,Added a Friendship,156686
877,51305,58989,Viewed,821451
878,75918,75429,Other,289956
879,79132,84955,Viewed,974132
880,27264,147690,Poked,124460
881,33180,193576,Poked,397484
882,106414,3341,Other,556125
883,160110,147508,Added a Friendship,742039
884,30195,67446,Sent a Message,334392
885,188950,126278,Added a Friendship,801186
886,32377,154472,Poked,815613
887,94218,140508,Sent a Message,595128
888,58646,133532,Viewed,705530
889,174963,131838,Poked,928035
890,80397,46759,Other,174347
891,180740,196613,Other,929568
892,95600,171048,Sent a Message,260761
893,166870,7488,Added a Friendship,504684
894,197625,95927,Other,260033
895,162941,109855,Poked,207944
896,168794,51072,Sent a Message,690235
897,183697,5642,Wrote on Timeline,394858
898,114589,57599,Other,228415
899,117545,27149,Wrote on Timeline,637228
900,75607,22712,Other,682740
901,70203,135675,Added a Friendship,694854
902,89874,147645,Poked,108692
903,44007,92964,Added a Friendship,120886
904,45045,198908,Other,935530
905,117823,158876,Poked,228992
906,161386,84756,Wrote on Timeline,701086
907,88898,115668,Viewed,35799
908,65666,150079,Wrote on Timeline,922532
909,93910,16631,Other,141786
910,196737,7376,Viewed,410710
911,97562,11892,Other,404638
912,31173,62479,Other,499297
913,70099,15385,Other,595571
914,1741,192719,Other,174520
915,66084,65475,Poked,380963
916,127297,51332,Poked,762090
917,52778,26746,Wrote on Timeline,895273
918,148504,76128,Added a Friendship,772919
919,51625,80734,Sent a Message,527069
920,38968,58528,Viewed,252147
921,2526,127863,Poked,491318
922,9212,171538,Viewed,932000
923,114052,61031,Viewed,262272
924,90035,6707,Poked,813578
925,170713,19503,Other,461594
926,91126,143876,Wrote on Timeline,120336
927,106511,12947,Other,652530
928,101147,60975,Sent a Message,298433
929,106531,161624,Wrote on Timeline,313615
930,91961,138456,Added a Friendship,653138
931,128114,156734,Other,325475
932,68037,198023,Added a Friendship,129811
933,115440,54663,Viewed,237561
934,4710,44874,Other,209106
935,19717,1221,Other,792493
936,175768,83422,Viewed,877672
937,41734,143410,Other,431583
938,153820,181389,Added a Friendship,635637
939,52775,41881,Other,248544
940,106096,8127,Poked,158193
941,2223,23853,Wrote on Timeline,817176
942,6270,167708,Sent a Message,742971
943,6590,160543,Sent a Message,702694
944,191983,48299,Viewed,49372
945,72101,118487,Viewed,274435
946,15855,155429,Wrote on Timeline,783812
947,52614,89639,Other,395581
948,165905,106562,Other,578547
949,114304,91341,Poked,49925
950,3053,63920,Added a Friendship,104112
951,155639,177084,Other,657694
952,165281,180663,Sent a Message,342840
953,126657,199733,Added a Friendship,732252
954,123662,67012,Viewed,382362
955,33907,96386,Other,17710
956,101268,44707,Sent a Message,584608
957,173876,54077,Poked,975024
958,80558,144916,Sent a Message,525546
959,84537,70177,Viewed,296753
960,169339,106854,Wrote on Timeline,889812
961,34650,109130,Added a Friendship,216024
962,28664,56718,Wrote on Timeline,266889
963,108420,93435,Added a Friendship,41554
964,17818,126895,Added a Friendship,401119
965,54730,7863,Other,490869
966,144494,73763,Added a Friendship,820263
967,60879,75514,Sent a Message,896351
968,16603,189416,Other,439782
969,178883,185724,Sent a Message,696633
970,170231,82896,Viewed,691723
971,66878,42766,Viewed,75711
972,93290,79329,Viewed,385742
973,179538,91560,Sent a Message,698468
974,1871,160336,Wrote on Timeline,812395
975,93429,138002,Other,85951
976,656,170477,Added a Friendship,341450
977,17482,54529,Poked,239204
978,35500,87742,Wrote on Timeline,4271
979,30080,13689,Other,72557
980,110342,28308,Added a Friendship,274271
981,197844,199449,Poked,802758
982,182869,39488,Poked,978912
983,138612,125874,Wrote on Timeline,421575
984,82368,169139,Wrote on Timeline,632700
985,27708,81715,Other,372645
986,112355,95483,Poked,607568
987,33806,120183,Other,13883
988,178682,23948,Sent a Message,684904
989,97090,106720,Sent a Message,552810
990,159642,186551,Added a Friendship,490776
991,114969,130619,Sent a Message,198293
992,126353,101422,Poked,537513
993,101345,93755,Other,472345
994,97776,178372,Poked,365385
995,6062,100420,Wrote on Timeline,972304
996,126194,64319,Added a Friendship,141148
997,137774,86702,Added a Friendship,205964
998,18696,116327,Wrote on Timeline,681465
999,166132,135138,Poked,576863
1000,115740,110396,Added a Friendship,618774
